2018-04-29,1524931200,,,
G3200778,P101,911,0000,1.20
G3200778,P102,911,0000,2.00
G3200778,P202,911,0000,0.60
G3200778,P301,911,0000,5.60
G3200778,P302,911,0000,2.30
G3200849,P201,911,0000,3.60
G3200849,P203,911,0000,4.30
G3200849,P301,911,0000,5.40
G3200849,P304,911,0000,6.30
G4100017,P002,911,0000,8.00
G4100017,P002,923,0000,160.00
G4100017,P002,936,0000,11.00
G4100017,P004,911,0000,2.80
G3700791,P105,911,0000,2.20
G3700791,P105,922,0000,5.00
G3700791,P105,923,0000,15.00
G3700791,P105,936,0000,6.10
G3700791,P115,911,0000,2.10
G3700791,P115,922,0000,8.00
G3700791,P115,923,0000,16.00
G3700791,P115,936,0000,6.30
G37A0585,P002,911,0000,16.40
G37A0585,P007,911,0000,3.90
G32A0540,P001,911,0000,1.90
G3801239,P001,911,0000,1.70
G3801239,P002,911,0000,2.00
G3200778,P101,911,0006,1.10
G3200778,P102,911,0006,2.00
G3200778,P202,911,0006,0.60
G3200778,P301,911,0006,6.60
G3200778,P302,911,0006,2.30
G3200849,P201,911,0006,3.60
G3200849,P203,911,0006,4.40
G3200849,P301,911,0006,5.60
G3200849,P304,911,0006,6.30
G4100017,P002,911,0006,8.60
G4100017,P004,911,0006,0.00
G3700791,P105,911,0006,2.20
G3700791,P115,911,0006,2.10
G32A0540,P001,911,0006,1.90
G3801239,P001,911,0006,1.70
G3801239,P002,911,0006,2.10
