2016-05-08,1462636800,,,
H4702336,P001,911,0000,8.80
H4702336,P001,922,0000,11.00
H4702336,P001,923,0000,81.00
H4307715,P001,911,0000,1.80
H4307715,P001,922,0000,3.00
H4307715,P001,923,0000,104.00
H4307715,P001,924,0000,1.00
H4307715,P002,911,0000,0.70
H4307715,P002,922,0000,0.00
H4307715,P002,923,0000,0.00
H4307715,P002,924,0000,0.00
H53A0675,P001,911,0000,2.10
H4604568,P001,923,0000,0.00
H4604568,P002,923,0000,0.00
H4604568,P003,923,0000,5.00
H4604568,P004,923,0000,5.00
H4810851,P101,911,0000,17.10
H4810851,P201,911,0000,14.70
H5200215,P002,911,0000,11.50
H4601227,PG01,911,0000,8.60
H4601398,P451,911,0000,15.60
H4601398,P501,911,0000,13.60
H5307960,P001,911,0000,1.00
H5307960,P002,911,0000,1.70
H5307960,P003,911,0000,0.50
H5307960,P004,911,0000,1.10
H5307960,P005,911,0000,0.90
H5307960,P006,911,0000,1.30
H51A1495,A001,959,0000,33.00
H53A0675,P001,924,0000,247.00
H4810851,P101,922,0000,12.00
H4810851,P101,923,0000,36.00
H4810851,P101,924,0000,214.00
H4810851,P201,922,0000,10.00
H4810851,P201,923,0000,36.00
H4810851,P201,924,0000,254.00
H5200215,P002,922,0000,65.00
H5200215,P002,923,0000,67.00
H4601227,PG01,922,0000,30.00
H4601227,PG01,923,0000,38.00
H4601398,P451,922,0000,16.00
H4601398,P451,923,0000,28.00
H4601398,P501,922,0000,24.00
H4601398,P501,923,0000,93.00
H5307960,P001,922,0000,0.00
H5307960,P001,923,0000,18.00
H5307960,P002,922,0000,0.00
H5307960,P002,923,0000,15.00
H5307960,P003,923,0000,12.00
H51A1495,A001,959,0005,33.00
H4702336,P001,911,0006,8.90
H4307715,P001,911,0006,1.80
H4307715,P002,911,0006,0.70
H53A0675,P001,911,0006,2.00
H4810851,P101,911,0006,17.10
H4810851,P201,911,0006,14.60
H4601227,PG01,911,0006,8.30
H4601398,P451,911,0006,18.40
H4601398,P501,911,0006,14.20
H4803507,P002,911,0006,1.40
H4803507,P003,911,0006,0.00
H4803507,P005,911,0006,3.20
H4803507,P006,911,0006,5.30
H4803507,P045,911,0006,100.00
H4810799,P001,911,0006,0.00
H4810799,P002,911,0006,0.00
H5200215,P002,911,0006,11.50
H5307960,P001,911,0006,1.00
H5307960,P002,911,0006,1.70
H5307960,P003,911,0006,0.50
H5307960,P004,911,0006,1.10
H51A1495,A001,959,0010,33.00
H4702336,P001,911,0012,8.90
H4307715,P001,911,0012,1.80
H4307715,P002,911,0012,0.70
H53A0675,P001,911,0012,2.00
