2016-01-03,1451750400,,,
G3200778,P101,911,0000,13.40
G3200778,P101,923,0000,272.00
G3200778,P101,936,0000,16.70
G3200778,P102,911,0000,2.80
G3200778,P201,911,0000,0.00
G3200778,P201,936,0000,0.00
G3200778,P201,923,0000,0.00
G3200778,P202,911,0000,7.20
G3200778,P202,923,0000,233.00
G3200778,P202,936,0000,16.10
G3200778,P203,911,0000,0.00
G3200778,P301,911,0000,18.30
G3200778,P301,936,0000,11.90
G3200778,P301,923,0000,250.00
G3200778,P302,911,0000,6.50
G3200849,P201,911,0000,2.20
G3200849,P201,923,0000,0.00
G3200849,P201,936,0000,20.90
G3200849,P203,911,0000,4.90
G3200849,P301,923,0000,392.00
G3200849,P301,936,0000,12.50
G3200849,P301,911,0000,11.40
G3200849,P304,911,0000,5.00
G4100017,P001,911,0000,0.00
G4100017,P001,923,0000,0.00
G4100017,P001,936,0000,0.00
G4100017,P002,923,0000,8.00
G4100017,P002,936,0000,17.70
G4100017,P002,911,0000,0.40
G4100017,P003,911,0000,0.00
G4100017,P004,911,0000,2.90
G4100017,P029,923,0000,20.00
G4100017,P029,936,0000,0.00
G4100017,P029,911,0000,0.00
G3700791,P105,911,0000,16.70
G3700791,P105,922,0000,8.00
G3700791,P105,923,0000,44.00
G3700791,P105,936,0000,6.10
G3700791,P115,911,0000,9.40
G3700791,P115,922,0000,0.00
G3700791,P115,923,0000,1.00
G3700791,P115,936,0000,23.40
G37A0585,P002,923,0000,333.00
G37A0585,P002,936,0000,9.50
G37A0585,P002,911,0000,11.50
G37A0585,P007,911,0000,4.60
G32A0540,P001,911,0000,1.70
G3801239,P001,911,0000,1.20
G3801239,P001,923,0000,75.00
G3801239,P001,924,0000,14.00
G3801239,P001,926,0000,11.00
G3801239,P001,936,0000,7.00
G3801239,P002,936,0000,7.10
G3801239,P002,926,0000,11.00
G3801239,P002,911,0000,1.30
G3801239,P002,924,0000,17.00
G3801239,P002,923,0000,61.00
G3200778,P101,911,0006,13.60
G3200778,P102,911,0006,2.90
G3200778,P201,911,0006,0.00
G3200778,P202,911,0006,7.50
G3200778,P203,911,0006,0.00
G3200778,P301,911,0006,15.10
G3200778,P302,911,0006,6.80
G3200849,P201,911,0006,2.20
G3200849,P203,911,0006,4.90
G3200849,P301,911,0006,11.00
G3200849,P304,911,0006,4.80
G4100017,P001,911,0006,0.00
G4100017,P002,911,0006,0.70
G4100017,P003,911,0006,0.00
G4100017,P004,911,0006,1.50
