2017-02-07,1486396800,,,
G3200778,P101,911,0000,4.10
G3200778,P102,911,0000,0.30
G3200778,P202,911,0000,4.30
G3200778,P301,911,0000,10.80
G3200778,P302,911,0000,6.70
G3200849,P201,911,0000,3.50
G3200849,P201,923,0000,0.00
G3200849,P201,936,0000,20.90
G3200849,P203,911,0000,4.50
G3200849,P301,911,0000,4.10
G3200849,P301,923,0000,0.00
G3200849,P301,936,0000,21.00
G3200849,P304,911,0000,4.00
G4100017,P002,923,0000,111.00
G4100017,P002,936,0000,11.60
G4100017,P002,911,0000,13.30
G4100017,P004,911,0000,0.30
G3700791,P105,911,0000,12.10
G3700791,P105,922,0000,4.00
G3700791,P105,923,0000,44.00
G3700791,P105,936,0000,6.90
G3700791,P115,911,0000,10.00
G3700791,P115,922,0000,0.00
G3700791,P115,923,0000,0.00
G3700791,P115,936,0000,19.60
G37A0585,P002,911,0000,7.80
G37A0585,P002,923,0000,0.00
G37A0585,P002,936,0000,20.80
G37A0585,P007,911,0000,5.40
G32A0540,P001,911,0000,1.90
G3801239,P001,911,0000,1.80
G3801239,P002,911,0000,2.00
G3200778,P101,911,0006,4.10
G3200778,P102,911,0006,0.30
G3200778,P202,911,0006,4.30
G3200778,P301,911,0006,10.90
G3200778,P302,911,0006,7.20
G3200849,P201,911,0006,3.50
G3200849,P203,911,0006,4.50
G3200849,P301,911,0006,3.70
G3200849,P304,911,0006,4.00
G4100017,P002,911,0006,14.00
G4100017,P004,911,0006,1.50
G3700791,P105,911,0006,12.10
G3700791,P115,911,0006,10.00
G37A0585,P002,911,0006,7.70
G37A0585,P007,911,0006,5.50
G3801239,P001,911,0006,1.80
G3801239,P002,911,0006,2.00
