2018-04-12,1523462400,,,
F0501686,P001,923,0000,60.00
F0501686,P001,924,0000,9.00
F0501686,P002,922,0000,7.00
F0701702,P001,911,0000,0.30
F0701702,P002,922,0000,18.00
F0703948,P001,922,0000,3.00
F0703948,P002,911,0000,0.90
F0703948,P003,911,0000,1.20
F0703948,P003,922,0000,3.00
F1600491,P901,911,0000,11.90
F0501686,P002,924,0000,6.00
F0703948,P001,923,0000,85.00
F0703948,P003,923,0000,81.00
F1600491,P901,922,0000,20.00
F1700736,P601,922,0000,0.00
F2300972,P101,911,0000,2.30
F2300972,P201,924,0000,0.00
F2300972,P301,923,0000,78.00
F1700736,P601,911,0000,2.10
F2300972,P101,922,0000,6.00
F2300972,P201,911,0000,0.00
F2300972,P201,922,0000,0.00
F2300972,P301,911,0000,2.30
F0501686,P001,911,0000,1.10
F0501686,P002,911,0000,1.50
F0701702,P001,923,0000,0.00
F0701702,P002,923,0000,68.00
F0703948,P001,924,0000,24.00
F0703948,P002,924,0000,3.00
F1600491,P901,923,0000,60.00
F1700736,P701,911,0000,2.10
F1700736,P701,922,0000,8.00
F2300972,P101,924,0000,4.00
F2300972,P301,924,0000,12.00
F0501686,P001,922,0000,10.00
F0501686,P002,923,0000,68.00
F0701702,P001,922,0000,0.00
F0701702,P002,911,0000,11.10
F0703948,P001,911,0000,1.90
F0703948,P002,922,0000,6.00
F0703948,P002,923,0000,105.00
F0703948,P003,924,0000,3.00
F1700736,P601,923,0000,0.00
F1700736,P701,923,0000,17.00
F2300972,P101,923,0000,87.00
F2300972,P201,923,0000,0.00
F2300972,P301,922,0000,8.00
F0701702,P001,911,0006,0.30
F0703948,P002,911,0006,0.90
F0703948,P003,911,0006,1.20
F1600491,P901,911,0006,11.90
F2300972,P101,911,0006,2.30
F1700736,P601,911,0006,2.10
F2300972,P201,911,0006,0.00
F2300972,P301,911,0006,2.40
F0501686,P001,911,0006,1.20
F0501686,P002,911,0006,1.50
F1700736,P701,911,0006,2.00
F0701702,P002,911,0006,11.00
F0703948,P001,911,0006,1.90
F0701702,P001,911,0012,0.20
F0703948,P002,911,0012,0.90
F0703948,P003,911,0012,1.20
F1600491,P901,911,0012,11.90
F2300972,P101,911,0012,2.30
F1700736,P601,911,0012,2.10
F2300972,P201,911,0012,0.00
F2300972,P301,911,0012,2.40
F0501686,P001,911,0012,1.20
F0501686,P002,911,0012,1.50
F1700736,P701,911,0012,2.10
F0701702,P002,911,0012,13.00
F0703948,P001,911,0012,1.90
F0501686,P001,923,0015,57.00
F0501686,P001,924,0015,8.00
F0501686,P002,922,0015,7.00
F0701702,P002,922,0015,17.00
F0703948,P001,922,0015,3.00
F0703948,P003,922,0015,4.00
F0501686,P002,924,0015,11.00
F0703948,P001,923,0015,83.00
F0703948,P003,923,0015,90.00
F1600491,P901,922,0015,21.00
F1700736,P601,922,0015,0.00
F2300972,P201,924,0015,0.00
F2300972,P301,923,0015,83.00
F2300972,P101,922,0015,6.00
F2300972,P201,922,0015,0.00
F0701702,P001,923,0015,0.00
F0701702,P002,923,0015,61.00
F0703948,P001,924,0015,22.00
F0703948,P002,924,0015,3.00
F1600491,P901,923,0015,53.00
F1700736,P701,922,0015,8.00
F2300972,P101,924,0015,5.00
F2300972,P301,924,0015,4.00
F0501686,P001,922,0015,10.00
F0501686,P002,923,0015,54.00
F0701702,P001,922,0015,0.00
F0703948,P002,922,0015,8.00
F0703948,P002,923,0015,115.00
F0703948,P003,924,0015,8.00
F1700736,P601,923,0015,0.00
F1700736,P701,923,0015,17.00
F2300972,P101,923,0015,90.00
F2300972,P201,923,0015,0.00
