2016-04-25,1461513600,,,
E2000554,P003,911,0000,10,10
E2000554,P003,923,0000,35,10
E2000554,P003,922,0000,10,10
E2000554,P003,936,0000,5,10
S1900658,P014,911,0000,1,10
S1900658,P014,923,0000,1,10
S1900658,P014,922,0000,0,10
S1900658,P014,936,0000,7,10
S1900710,P070,911,0000,5,10
S1900710,P070,923,0000,19,10
S1900710,P070,936,0000,8,10
S1900710,P070,922,0000,7,10
S1900710,P070,248,0000,195588,10
S1900710,P070,223,0000,19,10
S1900710,P070,236,0000,8,10
S1900710,P070,222,0000,6,10
S1900710,P070,259,0000,85,10
S1900710,P015,911,0000,0,00
S1900710,P056,911,0000,3,10
S1900710,P015,923,0000,0,00
S1900710,P015,936,0000,0,00
S1900710,P015,922,0000,0,00
S1900710,P056,923,0000,41,10
S1900710,P056,936,0000,4,10
S1900710,P056,922,0000,24,10
S1900710,P015,248,0000,0,00
S1900710,P015,223,0000,0,00
S1900710,P015,236,0000,0,00
S1900710,P015,222,0000,0,00
S1900710,P015,259,0000,0,00
S1900710,P056,248,0000,132480,10
S1900710,P056,223,0000,43,10
S1900710,P056,236,0000,4,10
S1900710,P056,222,0000,24,10
S1900710,P056,259,0000,120,10
S1900710,P050,911,0000,0,00
S1900710,P060,911,0000,4,10
S1900710,P050,923,0000,0,00
S1900710,P050,936,0000,0,00
S1900710,P050,922,0000,0,00
S1900710,P060,923,0000,25,10
S1900710,P060,936,0000,7,10
S1900710,P060,922,0000,7,10
S1900710,P050,248,0000,0,00
S1900710,P050,223,0000,0,00
S1900710,P050,236,0000,0,00
S1900710,P050,222,0000,0,00
S1900710,P050,259,0000,0,00
S1900710,P060,248,0000,135792,10
S1900710,P060,223,0000,25,10
S1900710,P060,236,0000,7,10
S1900710,P060,222,0000,7,10
S1900710,P060,259,0000,105,10
S2300438,P001,911,0000,5,10
S2100223,P015,911,0000,12,10
S1602755,P101,911,0000,3,10
S1602755,P201,911,0000,4,10
S1602755,P301,911,0000,2,10
E5600332,P001,911,0000,3,10
E5600332,P002,911,0000,3,10
E5600332,P003,911,0000,6,10
E5002890,P001,911,0000,6,10
E5002890,P002,911,0000,5,10
E5002890,P003,911,0000,5,10
E2000554,P003,911,0006,9,10
E5600850,PC01,911,0000,2,10
E5601197,P002,911,0000,3,10
E5601197,P003,911,0000,2,10
E5602998,P001,911,0000,0,00
E5602998,P002,911,0000,5,10
E5602998,P003,911,0000,4,10
E5602998,P004,911,0000,0,00
E5600869,P001,911,0000,0,00
S2005081,P401,911,0006,0,00
S2001314,P004,911,0006,12,10
S1900685,P002,911,0000,10,10
S1900685,P421,911,0000,0,00
S1900685,P411,911,0000,5,10
S2202553,P001,911,0000,0,00
S2202553,P002,911,0000,0,10
S2202553,P003,911,0000,1,10
S1900658,P014,911,0006,1,10
E5600841,P001,911,0000,5,10
E5600841,P002,911,0000,5,10
E5600841,P003,911,0000,9,10
E5600841,P004,911,0000,5,10
