2018-03-17,1521216000,,,
F0501686,P001,923,0000,76.00
F0501686,P002,924,0000,6.00
F0701702,P001,911,0000,0.00
F0703948,P001,923,0000,0.00
F0703948,P003,911,0000,2.30
F0703948,P003,923,0000,91.00
F1600491,P501,922,0000,15.00
F1700736,P601,911,0000,5.00
F1700736,P601,923,0000,0.00
F1700736,P701,911,0000,1.90
F0501686,P001,922,0000,7.00
F0501686,P002,911,0000,1.40
F0501686,P002,923,0000,77.00
F0701702,P001,922,0000,0.00
F0701702,P002,923,0000,63.00
F0703948,P002,924,0000,7.00
F0703948,P003,922,0000,4.00
F0703948,P003,924,0000,3.00
F1600491,P501,923,0000,0.00
F2300972,P101,922,0000,4.00
F2300972,P101,924,0000,2.00
F2300972,P201,923,0000,91.00
F2300972,P301,911,0000,2.00
F2300972,P301,923,0000,81.00
F0501686,P001,911,0000,1.00
F0501686,P002,922,0000,7.00
F0701702,P002,922,0000,29.00
F0703948,P001,922,0000,0.00
F0703948,P002,911,0000,1.50
F0703948,P002,922,0000,2.00
F1600491,P501,911,0000,0.00
F1600491,P901,922,0000,19.00
F1700736,P601,922,0000,1.00
F2300972,P301,922,0000,0.00
F2300972,P301,924,0000,3.00
F1700736,P701,923,0000,17.00
F2300972,P101,911,0000,2.30
F2300972,P101,923,0000,106.00
F2300972,P201,911,0000,2.20
F0501686,P001,924,0000,21.00
F0701702,P001,923,0000,0.00
F0701702,P002,911,0000,11.00
F0703948,P001,911,0000,0.00
F0703948,P001,924,0000,0.00
F0703948,P002,923,0000,79.00
F1600491,P901,911,0000,12.10
F1600491,P901,923,0000,48.00
F1700736,P701,922,0000,12.00
F2300972,P201,922,0000,4.00
F2300972,P201,924,0000,4.00
F0701702,P001,911,0006,0.00
F0703948,P003,911,0006,2.30
F1700736,P601,911,0006,3.10
F1700736,P701,911,0006,1.80
F0501686,P002,911,0006,1.40
F2300972,P301,911,0006,2.00
F0501686,P001,911,0006,1.00
F0703948,P002,911,0006,1.50
F1600491,P501,911,0006,0.00
F2300972,P101,911,0006,2.40
F2300972,P201,911,0006,2.10
F0701702,P002,911,0006,11.00
F0703948,P001,911,0006,0.00
F1600491,P901,911,0006,12.10
F0701702,P001,911,0012,0.00
