2017-09-21,1505923200,,,
P5802074,P001,911,0000,4.35
P5802074,P002,911,0000,-
P5802092,PP06,223,0000,84
P5802092,PP06,236,0000,2.5
P5802092,PP06,248,0000,163974
P5802092,PP06,259,0000,64
P5802092,PP06,923,0000,83.7
P5802092,PP06,936,0000,2.5
P5802092,PG01,911,0000,12.3
P5802092,PG01,922,0000,4
P5802092,PG01,923,0000,35
P5802092,PG01,936,0000,4.8
P5802092,PG02,911,0000,3.7
P5802092,PG02,922,0000,18
P5802092,PG02,923,0000,17
P5802092,PG02,936,0000,4.1
P5802421,P01A,911,0000,4.49
P5802421,P01A,922,0000,9.07
P5802421,P01A,923,0000,34.05
P5802421,P01A,924,0000,92.57
P5802421,P01A,936,0000,4.64
P5802421,P04A,911,0000,8.58
P5802421,P04A,922,0000,13.56
P5802421,P04A,923,0000,40.43
P5802421,P04A,924,0000,84.63
P5802421,P04A,936,0000,5.42
P5802421,P05A,911,0000,4.4
P5802421,P05A,922,0000,9.5
P5802421,P05A,923,0000,26.88
P5802421,P05A,924,0000,14.74
P5802421,P05A,936,0000,5.45
P5802421,P101,911,0000,3.7
P5802421,P201,911,0000,4.4
P5802421,P301,911,0000,3
P5802421,P401,911,0000,5.2
P5802421,P701,911,0000,90.3
P5802421,P801,911,0000,89.5
P5802421,PC01,911,0000,0.8
P5802421,PD01,911,0000,2.5
P5802421,PE01,911,0000,2.5
P5802421,PQ01,911,0000,-
P5802430,PA01,911,0000,-
P5802430,PA01,922,0000,-
P5802430,PA01,923,0000,-
P5802430,PA01,924,0000,-
P5802430,PA01,936,0000,-
P5802430,PB01,911,0000,10.41
P5802430,PB01,922,0000,14.26
P5802430,PB01,923,0000,30.9
P5802430,PB01,924,0000,27
P5802430,PB01,936,0000,4.92
P5802430,PC01,911,0000,9.41
P5802430,PC01,922,0000,13.02
P5802430,PC01,923,0000,34.79
P5802430,PC01,924,0000,38.16
P5802430,PC01,936,0000,4.92
P5802430,PD01,911,0000,7.42
P5802430,PD01,922,0000,16.94
P5802430,PD01,923,0000,38.23
P5802430,PD01,924,0000,21.36
P5802430,PD01,936,0000,4.31
P5802430,PE01,911,0000,9.81
P5802430,PE01,922,0000,22.1
P5802430,PE01,923,0000,24.17
P5802430,PE01,924,0000,24.33
P5802430,PE01,936,0000,6.26
P4600987,P001,911,0000,-
P4600987,P001,922,0000,-
P4600987,P001,923,0000,-
P4600987,P001,936,0000,-
P4600987,P002,911,0000,7.2
P4600987,P002,922,0000,39
P4600987,P002,923,0000,35
P4600987,P002,936,0000,7.3
P6201053,P001,222,0000,-
P6201053,P001,223,0000,-
P6201053,P001,224,0000,-
P6201053,P001,236,0000,-
P6201053,P001,248,0000,-
P6201053,P001,259,0000,-
P6201053,P001,911,0000,-
P6201053,P001,922,0000,-
P6201053,P001,923,0000,-
P6201053,P001,924,0000,-
P6201053,P001,936,0000,-
P6201053,P002,222,0000,2
P6201053,P002,223,0000,37
P6201053,P002,224,0000,26
P6201053,P002,236,0000,14.8
P6201053,P002,248,0000,12879
P6201053,P002,259,0000,103
