CNO,POLNO,ITEM,STD
S1900710,P070,222,25
S1900710,P070,223,30
S1900710,P070,236,0
S1900710,P070,248,0
S1900710,P070,259,0
E2000554,P003,211,20
E2000554,P003,222,50
E2000554,P003,223,50
S1901066,A001,A280,15000
S1901066,A025,A280,15000
S1900710,A201,A280,30000
S1900710,A202,A280,30000
S1901066,A030,A280,15000
S1900283,A001,248,15000
S1900407,A001,248,15000
S1900596,A001,248,15000
E2000554,P003,236,0
E2000554,P003,248,0
S1900701,A001,A280,15000
S2005652,A602,A280,99999
S1900569,P012,222,250
S1900569,P012,223,200
S1900569,P012,236,0
S1900569,P012,248,0
E5600056,P034,223,60
E5600056,P034,236,0
E5600056,P034,248,0
E5600841,PS12,211,20
E5600841,PS52,211,20
E5600841,PS72,211,20
S1900658,P014,211,20
S1900658,P014,222,50
S1900658,P014,223,100
S1900658,P014,236,25
S1900658,P014,248,999999
E2000554,P003,259,0
S1900710,A201,A980,30000
S1900649,A001,A280,15000
S1900710,A202,A980,30000
S1900694,A001,248,15000
S1900658,A001,248,15000
S1900407,A002,248,15000
S1900630,A002,248,15000
S1900676,A001,248,15000
S2015916,A204,248,15000
S2000424,A101,248,15000
S2000424,A103,248,15000
S2005626,A404,248,15000
S2201707,A001,248,15000
S2201056,A049,248,15000
S2300465,A002,248,15000
S2300410,A001,248,15000
S2300410,A002,248,15000
S2300447,A002,248,15000
S2300447,A003,248,15000
S23A0124,A301,248,15000
S23A0124,A302,248,15000
S3204695,A103,248,15000
E5602854,A000,A280,1000
E4900333,A002,248,30000
E4900333,A003,248,1000
E4900333,A004,237,30000
E4900333,A005,248,100
E4900333,A006,248,30000
E4900333,A008,248,30000
E4900333,A009,248,30000
E5600056,A014,A280,30000
E5600056,A015,A280,30000
E5600056,A016,A280,30000
E5600056,A017,A280,30000
E5600056,A018,A280,30000
E5600056,A019,A280,30000
E5600056,A020,A280,30000
E5600056,A021,A280,30000
E5600056,A022,A280,30000
E5600056,A023,A280,30000
E5600056,A024,A280,30000
E5600056,A025,A280,30000
E5600850,AE01,248,15000
E5602854,A001,A280,1000
E5600850,A403,A280,15000
E5600850,A405,A280,15000
E5600850,AE01,A280,15000
E4900333,A002,A280,30000
E4900333,A003,A280,30000
E4900333,A004,A280,30000
E4900333,A005,A280,30000
E4900333,A006,A280,30000
E4900333,A008,A280,30000
E4900333,A009,A280,30000
S1900694,A001,A280,500
S1900658,A001,A280,15000
S1900407,A001,A280,15000
S1900407,A002,A280,15000
S1900630,A002,A280,15000
S1900283,A001,A280,15000
S1900596,A001,A280,15000
S1900676,A001,A280,15000
S2015916,A204,A280,15000
S2000424,A101,A280,15000
S2000424,A103,A280,15000
S2005652,A404,A280,15000
S2201707,A001,A280,15000
S2201056,A049,A280,15000
S2300465,A002,A280,15000
S2300410,A001,A280,15000
S2300410,A002,A280,15000
S2300438,A107,248,15000
S2300438,A107,A280,15000
S2300447,A002,A280,15000
S2300447,A003,A280,15000
S23A0124,A301,A280,15000
S23A0124,A302,A280,15000
S3204695,A103,A280,15000
S2300401,A102,248,15000
S2300401,A902,237,15000
S2300429,A302,248,15000
S2300429,A401,248,15000
S2300429,A501,248,15000
S2300429,AA01,248,15000
S2300401,A102,A280,15000
S2300401,A902,A280,15000
S2300429,A302,A280,15000
S2300429,A401,A280,15000
S2300429,A501,A280,15000
S2300429,AA01,A280,15000
E5602854,A001,248,10000
S1900685,P421,211,20
S1900685,P421,222,200
S1900685,P421,223,250
S1400170,P047,211,20
S2800200,P001,211,20
S2800200,P001,222,200
S2800200,P001,223,450
S2800200,P005,211,10
S2800200,P005,222,200
S2800200,P005,223,450
S2300401,P011,211,20
S2300401,P011,222,200
S2300401,P011,223,250
S2005801,P401,211,20
S2005801,P401,222,80
S2005801,P401,223,125
S2202553,P001,211,10
S2202553,P002,211,10
S2202553,P003,211,10
S2202553,P001,222,200
S2202553,P002,222,200
S2202553,P003,222,200
S2202553,P001,223,120
S2202553,P002,223,120
S2202553,P003,223,120
S2202553,P001,224,80
S2202553,P002,224,80
S2202553,P003,224,80
S1601990,P001,211,10
S1601990,P004,211,10
S2201109,P711,211,20
S2201109,P711,222,20
S2201109,P711,223,50
S2201109,P721,211,20
S2201109,P721,222,250
S2201109,P721,223,150
S2201109,P731,211,20
S2201109,P731,222,80
S2201109,P731,223,125
S2201109,P741,211,20
S2201109,P741,222,80
S2201109,P741,223,125
S2201109,P751,211,20
S2201109,P751,222,80
S2201109,P751,223,125
S3200688,P001,211,25
S3200688,P001,222,200
S3200688,P001,223,250
S3200688,P002,211,25
S3200688,P002,222,200
S3200688,P002,223,250
S3200688,P003,211,22
S3200688,P003,222,200
S3200688,P003,223,250
S3200688,P004,211,22
S3200688,P004,222,200
S3200688,P004,223,250
S1900685,P421,236,0
S1400170,P047,222,250
S1400170,P047,223,200
S1400170,P047,236,25
