2017-10-31,1509379200,,,
F0501686,P001,911,0000,0.80
F0501686,P001,923,0000,103.00
F0501686,P002,922,0000,7.00
F0701702,P001,922,0000,0.00
F0703948,P001,922,0000,4.00
F0703948,P003,923,0000,54.00
F0703948,P003,924,0000,6.00
F1600491,P501,911,0000,1.90
F1600491,P501,923,0000,0.00
F1600491,P901,922,0000,24.00
F1700736,P601,922,0000,8.00
F1700736,P701,911,0000,1.20
F0501686,P001,924,0000,19.00
F0701702,P001,911,0000,0.90
F0701702,P002,922,0000,21.00
F0703948,P002,911,0000,1.70
F0703948,P002,924,0000,18.00
F0703948,P003,922,0000,7.00
F1600491,P901,911,0000,11.80
F1700736,P601,911,0000,1.20
F1700736,P601,923,0000,21.00
F2300972,P101,911,0000,2.30
F2300972,P101,924,0000,1.00
F2300972,P201,922,0000,2.00
F2300972,P301,924,0000,1.00
F0501686,P002,911,0000,1.30
F0501686,P002,923,0000,83.00
F0701702,P002,911,0000,6.80
F0703948,P001,911,0000,1.10
F0703948,P001,924,0000,23.00
F0703948,P002,922,0000,4.00
F0703948,P003,911,0000,2.50
F1700736,P701,923,0000,23.00
F2300972,P101,922,0000,4.00
F2300972,P301,922,0000,2.00
F2300972,P201,911,0000,1.20
F2300972,P201,923,0000,90.00
F0501686,P001,922,0000,8.00
F0501686,P002,924,0000,21.00
F0701702,P001,923,0000,0.00
F0701702,P002,923,0000,71.00
F0703948,P001,923,0000,108.00
F0703948,P002,923,0000,83.00
F1600491,P501,922,0000,0.00
F1600491,P901,923,0000,51.00
F1700736,P701,922,0000,7.00
F2300972,P101,923,0000,105.00
F2300972,P201,924,0000,1.00
F2300972,P301,911,0000,2.60
F2300972,P301,923,0000,87.00
F0501686,P001,911,0006,0.80
F1600491,P501,911,0006,1.90
F1700736,P701,911,0006,1.30
F0701702,P001,911,0006,0.90
F0703948,P002,911,0006,1.70
F1600491,P901,911,0006,11.80
F1700736,P601,911,0006,1.20
F2300972,P101,911,0006,2.30
F0501686,P002,911,0006,1.30
F0701702,P002,911,0006,6.90
F0703948,P001,911,0006,1.10
F0703948,P003,911,0006,2.50
F2300972,P201,911,0006,1.30
F2300972,P301,911,0006,2.50
